x	y
0	3
1	3.6816
2	4.3251
3	4.895
4	5.3598
5	5.6946
6	5.8822
7	5.9141
8	5.7908
9	5.5219
10	5.1252
11	4.6257
12	4.0535
13	3.4423
14	2.8271
15	2.2422
16	1.7189
17	1.2838
18	0.95735
19	0.75292
20	0.67608
21	0.72467
22	0.889925
23	1.154
24	1.4981
25	1.8972
26	2.3251
27	2.75557
28	3.1645
29	3.5301
30	3.8355
31	4.0688
32	4.2237
33	4.2994
34	4.3003
35	4.2355
36	4.1172
37	3.96
38	3.7794
39	3.5909
40	3.408
41	3.2423
42	3.1019
43	2.9916
44	2.9126
45	2.8625
46	2.8363
47	2.8271
48	2.8264
49	2.8259
50	2.8179
51	2.7964
52	2.7576
53	2.7006
54	2.6273
55	2.5425
56	2.4534
57	2.3689
58	2.2988
59	2.2533
60	2.2411
61	2.2694
62	2.3426
63	2.4617
64	2.6242
65	2.8238
66	3.051
67	3.2932
68	3.5357
69	3.7632
70	3.9599
71	4.1116
72	4.2066
73	4.2362
74	4.1961
75	4.0865
76	3.9123
77	3.683
78	3.4119
79	3.1156
80	2.8126
81	2.5221
82	2.2628
83	2.0513
84	1.9013
85	1.822
86	1.8181
87	1.8887
88	2.0279
89	2.2251
90	2.4655
91	2.7313
92	3.0031
93	3.2611
94	3.4868
95	3.6642
96	3.7811
97	3.8299
98	3.8084
99	3.7197
100	3.5723 
