x	y
7	5.9141
4	5.3598
71	4.1116
100	3.5723
31	4.0688
76	3.9123
11	4.6257
93	3.2611
37	3.96
78	3.4119
2	4.3251
69	3.7632
12	4.0535
92	3.0031
29	3.5301
95	3.6642
67	3.2932
13	3.4423
29	3.5301
95	3.6642
67	3.2932
13	3.4423
39	3.5909
44	2.9126
91	2.7313
65	2.8238
0	3
80	2.8126
90	2.4655
53	2.7006
28	3.1645
64	2.6242
82	2.2628
56	2.4534
14	2.8271
60	2.2411
88	2.0279
84	1.9013
59	2.2533
87	1.8887
85	1.822
15	2.2422
25	1.8972
86	1.8181
16	1.7189
24	1.4981
17	1.2838
23	1.154
18	0.95735
22	0.889925
19	0.75292
21	0.72467
20	0.67608
